k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
3,2,10-10-80,1.615971539241545,1.4016147849765994,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8897120196996449,0.7782891229161317
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.8906252434703048,0.727029164564647
5,2,10-10-10-10-60,1.1927847208274884,1.0,1.0,1.0,1.0,0.8140157912219452
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8896868132781718,0.77818156454634
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.8905599591162472,0.7269584983528379
5,2,10-10-10-10-60,1.19283894193911,1.0,1.0,1.0,1.0,0.8139512855174915
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9966633299966633,0.9849038227416607
5,2,10-10-20-20-40,1.046382189239332,1.0278105732651186,1.0,1.0,1.0,1.0
5,2,10-10-10-10-60,1.046382189239332,1.0278105732651186,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9772203404671684,0.8013357284513415
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.9943650279690377,0.7925670854010161
5,2,10-10-10-10-60,1.0597355559755726,1.0,1.0,1.0,1.0,0.941024132079545
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.901592726868648,0.8295292294706088
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.9624923077230334,0.8947122575954244
5,2,10-10-10-10-60,1.1529607772618962,1.008580442092711,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8856957160831747,0.7723587532531102
5,2,10-10-20-20-40,1.3470340532453544,1.0,1.0,1.0,1.0,0.7813019474069107
5,2,10-10-10-10-60,1.4060275259992363,1.0,1.0,1.0,1.0,0.9975314124965835
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8827954000658018,0.7798059870497479
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.8918789819388893,0.8418458845586518
5,2,10-10-10-10-60,1.3137910071775205,1.0,1.0,1.0,1.0,0.9669097161281998
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9827581713366165,0.9144521201226037
5,2,10-10-20-20-40,1.4370315639967592,1.0,1.0,1.0,1.0,0.9365785358544385
5,2,10-10-10-10-60,1.4541682026392948,1.0435913388562372,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9265620889476753,0.8324301167316014
5,2,10-10-20-20-40,1.377009392128918,1.0,1.0,1.0,1.0,0.9265993358333695
5,2,10-10-10-10-60,1.4630447827499586,1.058573223488398,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8118633474844886,0.788769155147711
5,2,10-10-20-20-40,1.0,1.0,1.0,1.0,0.8984246264569207,0.6989972049608932
5,2,10-10-10-10-60,1.1811259955936027,1.0,1.0,1.0,1.0,0.7904097583509362
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8564455776484364,0.8497696523642008
5,2,10-10-20-20-40,1.2073526175563485,1.0,1.0,1.0,1.0,0.7677375845638067
5,2,10-10-10-10-60,1.3352927586779662,1.0,1.0,1.0,1.0,0.8955578374323812
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8351835490226601,0.7384227374048823
5,2,10-10-20-20-40,1.132433541681233,1.0,1.0,1.0,1.0,0.7422527537664698
5,2,10-10-10-10-60,1.2195153877602753,1.0,1.0,1.0,1.0,0.9235768742756821
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.8735413238093226,0.8037805668307848
5,2,10-10-20-20-40,1.2103111778956075,1.0,1.0,1.0,1.0,0.8205081870519617
5,2,10-10-10-10-60,1.2349150517306289,1.0702693077828125,1.0,1.0,1.0,1.0
5,2,20-20-20-20-20,1.0,1.0,1.0,1.0,0.9513123205149169,0.8484464490395152
5,2,10-10-20-20-40,1.2561127500296387,1.0,1.0,1.0,1.0,0.905886433210126
